q,iteration,MAE,RMSE,R2,MAPE,n_pseudo_cum
0.2,0,2331.57,3132.98,0.42,26.69,0.0
0.2,1,2338.35,3102.16,0.44,26.55,1003.2
0.2,2,2344.23,3107.45,0.43,26.57,1928.8
0.2,3,2358.84,3111.83,0.43,26.81,2554.6
0.2,4,2327.63,3066.92,0.45,26.4,3104.2
0.2,5,2348.7,3092.78,0.44,26.83,3486.2
0.3,0,2331.57,3132.98,0.42,26.69,0.0
0.3,1,2320.73,3077.06,0.45,26.44,1500.6
0.3,2,2323.08,3081.39,0.45,26.31,2605.6
0.3,3,2345.09,3090.31,0.44,26.49,3339.4
0.3,4,2358.78,3105.46,0.44,26.71,3844.6
0.3,5,2378.08,3119.9,0.43,27.04,4209.0
0.4,0,2331.57,3132.98,0.42,26.69,0.0
0.4,1,2343.9,3107.93,0.44,26.57,2000.0
0.4,2,2339.28,3091.4,0.45,26.39,3240.0
0.4,3,2391.03,3150.16,0.42,27.14,3957.0
0.4,4,2431.95,3238.08,0.39,27.32,4379.4
0.4,5,2494.87,3360.17,0.34,27.87,4628.8
